date,call_count
15-12-2025,793
16-12-2025,858
17-12-2025,747
18-12-2025,653
19-12-2025,561
20-12-2025,44
21-12-2025,17
22-12-2025,425
23-12-2025,463
24-12-2025,158
27-12-2025,31
28-12-2025,42
29-12-2025,512
30-12-2025,571
31-12-2025,265
02-01-2026,280
03-01-2026,5
04-01-2026,2
05-01-2026,817
06-01-2026,766
07-01-2026,701
08-01-2026,674
09-01-2026,681
10-01-2026,68
11-01-2026,41
12-01-2026,890
13-01-2026,856
14-01-2026,909
15-01-2026,853
16-01-2026,898
17-01-2026,114
18-01-2026,8
19-01-2026,778
20-01-2026,901
21-01-2026,910
22-01-2026,796
23-01-2026,862
24-01-2026,44
25-01-2026,8
26-01-2026,740
27-01-2026,895
28-01-2026,930
29-01-2026,872
30-01-2026,930
31-01-2026,61
